,0.0000,1.0000
0,13.0003,77.6802
1,13.0003,77.6788
2,13.0003,77.6788
3,13.0002,77.6787
4,13.0002,77.6786
5,13.0002,77.6785
6,13.0002,77.6785
7,13.0002,77.6785
8,13.0002,77.6784
9,13.0002,77.6783
10,13.0003,77.6782
11,13.0003,77.6781
12,13.0003,77.6781
13,13.0003,77.6781
14,13.0002,77.6768
15,12.9970,77.6701
16,12.9965,77.6688
17,12.9948,77.6668
18,12.9946,77.6642
19,12.9951,77.6654
20,12.9958,77.6666
21,12.9968,77.6688
22,12.9974,77.6700
23,12.9981,77.6715
24,12.9989,77.6733
25,12.9992,77.6818
26,12.9995,77.6816
27,12.9995,77.6816
28,12.9995,77.6816
29,13.0002,77.6807
30,13.0002,77.6806
31,13.0003,77.6787
32,13.0002,77.6770
33,13.0002,77.6770
34,13.0000,77.6764
35,12.9999,77.6763
36,12.9999,77.6762
37,12.9999,77.6762
38,12.9995,77.6753
39,12.9980,77.6722
40,12.9967,77.6695
41,12.9946,77.6669
42,12.9996,77.6746
43,13.0000,77.6755
44,13.0000,77.6756
45,13.0002,77.6759
46,13.0003,77.6788
47,13.0003,77.6787
48,12.9989,77.6740
49,12.9980,77.6721
50,12.9969,77.6696
51,12.9967,77.6693
52,12.9967,77.6693
53,12.9965,77.6689
54,12.9954,77.6666
55,12.9960,77.6671
56,12.9962,77.6675
57,12.9962,77.6675
58,12.9967,77.6685
59,12.9981,77.6715
60,12.9982,77.6718
61,12.9984,77.6721
62,12.9985,77.6722
63,12.9985,77.6722
64,12.9988,77.6729
65,12.9995,77.6743
66,12.9998,77.6751
67,12.9999,77.6754
68,12.9972,77.6830
69,12.9995,77.6816
70,12.9996,77.6816
71,13.0001,77.6812
72,13.0003,77.6798
73,13.0003,77.6797
74,13.0003,77.6797
75,13.0003,77.6796
76,12.9997,77.6757
77,12.9993,77.6747
78,12.9993,77.6746
79,12.9992,77.6746
80,12.9992,77.6746
81,12.9987,77.6735
82,12.9985,77.6731
83,12.9983,77.6727
84,12.9981,77.6722
85,12.9976,77.6712
86,12.9976,77.6712
87,12.9958,77.6673
88,12.9932,77.6668
89,12.9946,77.6661
90,12.9960,77.6671
91,12.9961,77.6673
92,12.9961,77.6674
93,12.9977,77.6708
94,12.9978,77.6710
95,12.9981,77.6715
96,12.9989,77.6731
97,12.9994,77.6743
98,12.9995,77.6744
99,12.9995,77.6745
100,13.0001,77.6760
101,12.9990,77.6767
102,13.0002,77.6793
103,13.0002,77.6793
104,13.0002,77.6791
105,13.0002,77.6790
106,13.0002,77.6789
107,13.0002,77.6789
108,13.0002,77.6789
109,13.0002,77.6788
110,13.0003,77.6775
111,13.0001,77.6766
112,12.9981,77.6722
113,12.9973,77.6707
114,12.9960,77.6677
115,12.9954,77.6659
116,12.9961,77.6672
117,12.9962,77.6675
118,12.9966,77.6683
119,12.9966,77.6684
120,12.9966,77.6684
121,12.9967,77.6684
122,12.9971,77.6694
123,12.9978,77.6709
124,12.9980,77.6714
125,12.9989,77.6732
126,12.9990,77.6734
127,12.9993,77.6740
128,12.9996,77.6745
129,12.9996,77.6747
130,12.9997,77.6748
131,12.9997,77.6748
132,12.9997,77.6749
133,12.9997,77.6749
134,13.0001,77.6758
135,13.0002,77.6761
136,13.0002,77.6761
137,12.9964,77.6834
138,12.9973,77.6830
139,12.9982,77.6824
140,12.9985,77.6823
141,12.9986,77.6822
142,12.9986,77.6822
143,13.0002,77.6806
144,13.0002,77.6805
145,13.0002,77.6805
146,13.0002,77.6804
147,13.0002,77.6804
148,13.0002,77.6803
149,13.0003,77.6791
150,13.0003,77.6790
151,12.9997,77.6756
152,12.9990,77.6742
153,12.9987,77.6736
154,12.9985,77.6732
155,12.9975,77.6711
156,12.9973,77.6706
157,12.9970,77.6699
158,12.9968,77.6694
159,12.9961,77.6682
160,12.9942,77.6671
161,12.9949,77.6660
162,12.9961,77.6675
163,12.9971,77.6695
164,12.9972,77.6696
165,12.9974,77.6702
166,12.9976,77.6707
167,13.0003,77.6776
168,13.0002,77.6767
169,12.9930,77.6674
170,12.9964,77.6680
171,12.9967,77.6688
172,12.9978,77.6710
173,12.9978,77.6710
174,12.9982,77.6718
175,12.9985,77.6724
176,12.9988,77.6730
177,12.9989,77.6731
178,12.9990,77.6734
179,12.9990,77.6735
180,12.9990,77.6735
181,13.0000,77.6757
182,13.0000,77.6757
183,13.0001,77.6757
184,12.9973,77.6831
185,12.9981,77.6824
186,12.9984,77.6823
187,12.9984,77.6823
188,13.0003,77.6804
189,13.0003,77.6799
190,13.0003,77.6788
191,13.0002,77.6787
192,13.0000,77.6763
193,12.9999,77.6763
194,12.9998,77.6760
195,12.9993,77.6749
196,12.9993,77.6748
197,12.9991,77.6743
198,12.9984,77.6728
199,12.9982,77.6726
200,12.9969,77.6699
201,12.9969,77.6698
202,12.9968,77.6696
203,12.9967,77.6694
204,12.9956,77.6669
205,12.9956,77.6668
206,12.9971,77.6696
207,12.9979,77.6712
208,13.0003,77.6803
209,13.0003,77.6796
210,13.0003,77.6785
211,13.0000,77.6765
212,13.0000,77.6765
213,12.9968,77.6696
214,12.9964,77.6686
215,12.9950,77.6660
216,12.9960,77.6671
217,12.9960,77.6672
218,12.9960,77.6672
219,12.9960,77.6672
220,12.9960,77.6672
221,12.9960,77.6673
222,12.9965,77.6682
223,12.9967,77.6687
224,12.9979,77.6712
225,13.0004,77.6766
226,12.9988,77.6820
227,12.9989,77.6820
228,12.9996,77.6816
229,13.0001,77.6811
230,13.0003,77.6795
231,13.0003,77.6794
232,13.0003,77.6793
233,13.0003,77.6793
234,13.0003,77.6790
235,13.0003,77.6790
236,13.0002,77.6784
237,13.0002,77.6769
238,13.0002,77.6769
239,12.9991,77.6743
240,12.9985,77.6732
241,12.9985,77.6730
242,12.9977,77.6715
243,12.9974,77.6710
244,12.9973,77.6708
245,12.9972,77.6703
246,12.9969,77.6696
247,12.9965,77.6688
248,12.9943,77.6663
249,12.9949,77.6660
250,12.9964,77.6681
251,12.9968,77.6689
252,12.9970,77.6694
253,12.9975,77.6702
254,12.9977,77.6707
255,12.9978,77.6708
256,12.9987,77.6727
257,12.9993,77.6740
258,12.9993,77.6741
259,12.9994,77.6741
260,13.0000,77.6754
261,13.0000,77.6756
262,13.0002,77.6759
263,13.0003,77.6801
264,13.0003,77.6798
265,13.0003,77.6797
266,13.0003,77.6771
267,13.0002,77.6767
268,12.9995,77.6751
269,12.9993,77.6746
270,12.9990,77.6740
271,12.9987,77.6736
272,12.9982,77.6723
273,12.9969,77.6697
274,12.9967,77.6693
275,12.9966,77.6689
276,12.9965,77.6687
277,12.9965,77.6687
278,12.9964,77.6685
279,12.9964,77.6684
280,12.9963,77.6682
281,12.9956,77.6665
282,12.9974,77.6640
283,12.9962,77.6649
284,12.9960,77.6650
285,12.9958,77.6652
286,12.9957,77.6656
287,12.9959,77.6666
288,12.9959,77.6666
289,12.9961,77.6670
290,12.9964,77.6677
291,12.9966,77.6683
292,12.9981,77.6715
293,12.9989,77.6731
294,12.9991,77.6736
295,12.9995,77.6745
296,13.0000,77.6756
297,13.0148,77.6621
298,13.0154,77.6621
299,13.0155,77.6620
300,13.0171,77.6600
301,13.0186,77.6566
302,13.0195,77.6542
303,13.0216,77.6396
304,13.0214,77.6396
305,13.0206,77.6395
306,13.0196,77.6417
307,13.0196,77.6418
308,13.0195,77.6424
309,13.0189,77.6432
310,13.0182,77.6432
311,13.0175,77.6431
312,13.0175,77.6431
313,13.0166,77.6431
314,13.0150,77.6447
315,13.0146,77.6476
316,13.0146,77.6477
317,13.0145,77.6487
318,13.0133,77.6484
319,13.0130,77.6492
320,13.0129,77.6503
321,13.0121,77.6516
322,13.0118,77.6520
323,13.0117,77.6521
324,13.0111,77.6530
325,13.0107,77.6551
326,13.0094,77.6558
327,13.0092,77.6559
328,13.0099,77.6572
329,13.0148,77.6621
330,13.0154,77.6621
331,13.0155,77.6620
332,13.0171,77.6600
333,13.0186,77.6566
334,13.0195,77.6542
335,13.0216,77.6396
336,13.0214,77.6396
337,13.0206,77.6395
338,13.0196,77.6417
339,13.0196,77.6418
340,13.0195,77.6424
341,13.0189,77.6432
342,13.0182,77.6432
343,13.0175,77.6431
344,13.0175,77.6431
345,13.0166,77.6431
346,13.0150,77.6447
347,13.0146,77.6476
348,13.0146,77.6477
349,13.0145,77.6487
350,13.0133,77.6484
351,13.0130,77.6492
352,13.0129,77.6503
353,13.0121,77.6516
354,13.0118,77.6520
355,13.0117,77.6521
356,13.0111,77.6530
357,13.0107,77.6551
358,13.0094,77.6558
359,13.0092,77.6559
360,13.0099,77.6572
361,13.0148,77.6621
362,13.0154,77.6621
363,13.0155,77.6620
364,13.0171,77.6600
365,13.0186,77.6566
366,13.0195,77.6542
367,13.0216,77.6396
368,13.0214,77.6396
369,13.0206,77.6395
370,13.0196,77.6417
371,13.0196,77.6418
372,13.0195,77.6424
373,13.0189,77.6432
374,13.0182,77.6432
375,13.0175,77.6431
376,13.0175,77.6431
377,13.0166,77.6431
378,13.0150,77.6447
379,13.0146,77.6476
380,13.0146,77.6477
381,13.0145,77.6487
382,13.0133,77.6484
383,13.0130,77.6492
384,13.0129,77.6503
385,13.0121,77.6516
386,13.0118,77.6520
387,13.0117,77.6521
388,13.0111,77.6530
389,13.0107,77.6551
390,13.0094,77.6558
391,13.0092,77.6559
392,13.0099,77.6572
393,13.0063,77.7170
394,13.0064,77.7170
395,13.0086,77.7177
396,13.0129,77.7171
397,13.0160,77.7163
398,13.0165,77.7162
399,13.0184,77.7198
400,13.0202,77.7208
401,13.0200,77.7227
402,13.0198,77.7234
403,13.0191,77.7244
404,13.0188,77.7247
405,13.0183,77.7253
406,13.0173,77.7268
407,13.0046,77.7144
408,13.0046,77.7138
409,13.0046,77.7135
410,13.0045,77.7181
411,13.0061,77.7169
412,13.0062,77.7170
413,13.0064,77.7170
414,13.0071,77.7172
415,13.0088,77.7178
416,13.0135,77.7171
417,13.0170,77.7158
418,13.0180,77.7156
419,13.0167,77.7167
420,13.0169,77.7177
421,13.0180,77.7189
422,13.0184,77.7190
423,13.0195,77.7200
424,13.0199,77.7202
425,13.0199,77.7204
426,13.0201,77.7229
427,13.0191,77.7244
428,13.0063,77.7170
429,13.0064,77.7170
430,13.0086,77.7177
431,13.0129,77.7171
432,13.0160,77.7163
433,13.0165,77.7162
434,13.0184,77.7198
435,13.0202,77.7208
436,13.0200,77.7227
437,13.0198,77.7234
438,13.0191,77.7244
439,13.0188,77.7247
440,13.0183,77.7253
441,13.0173,77.7268
442,13.0046,77.7144
443,13.0046,77.7138
444,13.0046,77.7135
445,13.0045,77.7181
446,13.0061,77.7169
447,13.0062,77.7170
448,13.0064,77.7170
449,13.0071,77.7172
450,13.0088,77.7178
451,13.0135,77.7171
452,13.0170,77.7158
453,13.0180,77.7156
454,13.0167,77.7167
455,13.0169,77.7177
456,13.0180,77.7189
457,13.0184,77.7190
458,13.0195,77.7200
459,13.0199,77.7202
460,13.0199,77.7204
461,13.0201,77.7229
462,13.0191,77.7244
463,13.0046,77.7145
464,13.0046,77.7145
465,13.0045,77.7158
466,13.0045,77.7161
467,13.0063,77.7170
468,13.0064,77.7170
469,13.0075,77.7173
470,13.0087,77.7178
471,13.0087,77.7178
472,13.0092,77.7178
473,13.0097,77.7178
474,13.0104,77.7178
475,13.0124,77.7171
476,13.0152,77.7169
477,13.0184,77.7192
478,13.0188,77.7201
479,13.0202,77.7208
480,13.0202,77.7219
481,13.0201,77.7228
482,13.0199,77.7235
483,13.0199,77.7235
484,13.0192,77.7243
485,13.0188,77.7248
486,13.0179,77.7259
487,13.0176,77.7264
488,13.0171,77.7276
489,13.0045,77.7157
490,13.0046,77.7130
491,13.0054,77.7168
492,13.0062,77.7170
493,13.0064,77.7171
494,13.0073,77.7174
495,13.0087,77.7177
496,13.0146,77.7170
497,13.0180,77.7154
498,13.0175,77.7190
499,13.0187,77.7201
500,13.0204,77.7208
501,13.0200,77.7234
502,13.0192,77.7243
503,13.0184,77.7253
504,13.0183,77.7254
505,13.0179,77.7259
506,13.0176,77.7263
507,13.0175,77.7265
508,13.0167,77.7283
509,13.0167,77.7284
510,13.0046,77.7139
511,13.0046,77.7142
512,13.0045,77.7153
513,13.0045,77.7158
514,13.0045,77.7164
515,13.0045,77.7178
516,13.0045,77.7158
517,13.0133,77.7097
518,13.0120,77.7099
519,13.0119,77.7099
520,13.0102,77.7100
521,13.0099,77.7099
522,13.0090,77.7096
523,13.0088,77.7095
524,13.0086,77.7095
525,13.0073,77.7094
526,13.0064,77.7097
527,13.0062,77.7098
528,13.0061,77.7099
529,13.0049,77.7101
530,13.0044,77.7101
531,13.0044,77.7116
532,13.0044,77.7118
533,13.0044,77.7122
534,13.0043,77.7109
535,13.0043,77.7106
536,13.0047,77.7100
537,13.0049,77.7100
538,13.0084,77.7094
539,13.0103,77.7100
540,13.0109,77.7100
541,13.0111,77.7100
542,13.0124,77.7098
543,13.0131,77.7097
544,13.0137,77.7096
545,12.9282,77.6831
546,12.9288,77.6831
547,12.9284,77.6821
548,12.9279,77.6812
549,12.9270,77.6791
550,12.9266,77.6784
551,12.9266,77.6784
552,12.9260,77.6769
553,12.9282,77.6811
554,12.9287,77.6820
555,12.9289,77.6825
556,12.9290,77.6829
557,12.9297,77.6841
558,12.9322,77.6875
559,12.9333,77.6888
560,12.9345,77.6901
561,12.9367,77.6924
562,12.9409,77.6960
563,12.9460,77.6983
564,12.9460,77.6984
565,12.9468,77.6987
