,0
0,15.82272
1,3.5999999999999996
2,20.04
3,105.336
4,43.39688448000001
5,15.532799999999998
6,14.399999999999999
7,14.399999999999999
8,8.13984
9,0.6
10,242.375424
11,231.6
12,231.6
13,120.43296000000001
14,17.652479999999997
15,65.84668416
16,399.0
17,122.98464000000001
18,41.265600000000006
19,19.8
20,19.8
21,12.120000000000001
22,10.66752
23,47.504639999999995
24,83.95407820800001
25,0.6
26,0.6
27,0.6
28,3.216
29,15.51264
30,10.8
31,39.12
32,67.78085959680001
33,21.0
34,11.64
35,1.7999999999999998
36,26.0114688
37,15.942720000000001
38,1994.8993843199999
39,353.80992000000003
40,3.0000000000000004
41,0.6
42,0.6
43,0.6
44,87.336
45,87.0
46,27.102720000000005
47,10.799999999999999
48,5.1792
49,0.0
50,0.0
