,0
0,12.111552
1,4.2
2,4.2
3,30.0768
4,94.79886336000001
5,10.881599999999999
6,10.2
7,10.2
8,3.7957632000000006
9,1.2
10,250.00101888
11,241.2
12,241.2
13,113.93380608
14,17.4764928
15,425.24856293376
16,351.0
17,170.0044032
18,30.8873856
19,13.799999999999999
20,13.799999999999999
21,13.799999999999999
22,4.4236416
23,62.8176
24,130.55062652928
25,1.2
26,1.2
27,1.2
28,1.3860480000000002
29,15.710783999999999
30,13.799999999999999
31,5.3999999999999995
32,129.638376726528
33,28.2
34,16.4808192
35,7.199999999999999
36,30.39952128
37,9.9471744
38,129.57056501760002
39,1277.48064
40,13.799999999999999
41,1.2
42,1.2
43,1.2
44,82.438848
45,79.8
46,75.61247232000001
47,10.799999999999999
48,8.200512
49,1.7999999999999998
50,0.0
