,0
0,13.3056
1,14.639999999999999
2,13.68
3,101.26559999999999
4,64.50719999999998
5,8.616
6,4.2
7,4.2
8,9.9408
9,6.6
10,18.150720000000003
11,4.2
12,4.2
13,107.17248
14,21.58848
15,32.54880000000001
16,0.6
17,80.26089984000001
18,62.7072
19,45.6
20,45.6
21,22.44
22,4.3248
23,75.83999999999999
24,79.80038400000001
25,4.2
26,4.2
27,4.2
28,5.112
29,21.72
30,58.8
31,50.4
32,65.539482624
33,15.6
34,40.7904
35,28.799999999999997
36,30.11808
37,33.9696
38,968.3424
39,43.707840000000004
40,11.280000000000001
41,16.32
42,14.399999999999999
43,6.359999999999999
44,3.2304
45,0.6
46,38.676288
47,4.2
48,7.4928
49,4.2
50,0.0
