,0
0,29.672832
1,11.16
2,0.6
3,5.23776
4,48.293531750400014
5,3.9290496
6,3.0
7,7.199999999999999
8,2.8191052800000005
9,0.6
10,169.680969216
11,155.4
12,155.4
13,87.30994176
14,23.07889152
15,73.03304878080002
16,4.2
17,185.559916032
18,31.36996608
19,4.08
20,1.2
21,1.2
22,5.1437952
23,53.596032
24,92.22239041536
25,0.6
26,0.6
27,0.6
28,4.62816
29,59.272358399999995
30,58.199999999999996
31,58.199999999999996
32,133.89316227072
33,20.4
34,17.893862400000003
35,6.0
36,35.51778048
37,12.61175808
38,157.1640972288
39,1182.6412799999998
40,9.6
41,7.4399999999999995
42,36.0
43,19.8
44,49.737024
45,48.6
46,55.15785984000001
47,12.6
48,17.3590656
49,0.0
50,0.0
