deviceCode_location_wardName,deviceCode_pyld_alarmType,date,,,,
A Narayanapura,HMW,28.2.18,,,,
A Narayanapura,HMW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,HMW,28.2.18,,,,
A Narayanapura,HMW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,FCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,HMW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,PCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,PCW,28.2.18,,,,
A Narayanapura,UFCW,28.2.18,,,,
A Narayanapura,HMW,28.2.18,,,,
A Narayanapura,FCW,28.2.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,FCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,FCW,1.3.18,,,,
A Narayanapura,FCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,HMW,1.3.18,,,,
A Narayanapura,FCW,1.3.18,,,,
A Narayanapura,FCW,1.3.18,,,,
A Narayanapura,FCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,PCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,UFCW,1.3.18,,,,
A Narayanapura,FCW,5.3.18,,,,
A Narayanapura,UFCW,5.3.18,,,,
A Narayanapura,PCW,5.3.18,,,,
A Narayanapura,UFCW,5.3.18,,,,
A Narayanapura,UFCW,5.3.18,,,,
A Narayanapura,FCW,5.3.18,,,,
A Narayanapura,UFCW,5.3.18,,,,
